Employee_ID,Date,Status,Department
EMP546,2024-07-07,Present,Sales
EMP527,2024-07-08,Present,Finance
EMP539,2024-07-09,Present,Sales
EMP519,2024-07-10,Present,Finance
EMP548,2024-07-11,Present,IT
EMP532,2024-07-12,Present,Finance
EMP511,2024-07-13,Present,IT
EMP514,2024-07-14,Present,Finance
EMP540,2024-07-15,Absent,HR
EMP538,2024-07-16,Leave,Sales
EMP501,2024-07-17,Present,HR
EMP528,2024-07-18,Leave,Finance
EMP540,2024-07-19,Present,Finance
EMP509,2024-07-20,Present,Finance
EMP501,2024-07-21,Present,IT
EMP510,2024-07-22,Present,Sales
EMP512,2024-07-23,Absent,Sales
EMP509,2024-07-24,Present,Finance
EMP513,2024-07-25,Present,Finance
EMP517,2024-07-26,Present,IT
EMP508,2024-07-27,Present,HR
EMP538,2024-07-28,Present,HR
EMP527,2024-07-29,Present,Sales
EMP502,2024-07-30,Present,IT
EMP519,2024-07-31,Absent,Finance
EMP505,2024-08-01,Leave,Sales
EMP526,2024-08-02,Present,IT
EMP501,2024-08-03,Leave,HR
EMP528,2024-08-04,Present,IT
EMP537,2024-08-05,Present,HR
EMP502,2024-08-06,Present,IT
EMP515,2024-08-07,Present,Sales
EMP529,2024-08-08,Leave,HR
EMP539,2024-08-09,Present,Sales
EMP501,2024-08-10,Present,Sales
EMP516,2024-08-11,Present,HR
EMP540,2024-08-12,Present,HR
EMP511,2024-08-13,Absent,Finance
EMP534,2024-08-14,Present,Finance
EMP542,2024-08-15,Present,Finance
EMP500,2024-08-16,Present,Sales
EMP544,2024-08-17,Present,Sales
EMP514,2024-08-18,Present,Finance
EMP525,2024-08-19,Present,Sales
EMP536,2024-08-20,Present,Sales
EMP520,2024-08-21,Present,HR
EMP548,2024-08-22,Absent,HR
EMP530,2024-08-23,Absent,Sales
EMP524,2024-08-24,Present,Finance
EMP522,2024-08-25,Present,IT
EMP523,2024-08-26,Present,Finance
EMP537,2024-08-27,Absent,IT
EMP527,2024-08-28,Present,Finance
EMP520,2024-08-29,Present,HR
EMP542,2024-08-30,Present,Sales
EMP517,2024-08-31,Present,Sales
EMP535,2024-09-01,Present,HR
EMP534,2024-09-02,Present,IT
EMP544,2024-09-03,Present,IT
EMP508,2024-09-04,Present,IT
EMP537,2024-09-05,Present,HR
EMP529,2024-09-06,Present,IT
EMP543,2024-09-07,Present,HR
EMP533,2024-09-08,Present,Finance
EMP531,2024-09-09,Present,Finance
EMP502,2024-09-10,Present,HR
EMP502,2024-09-11,Absent,Sales
EMP527,2024-09-12,Present,Finance
EMP543,2024-09-13,Present,IT
EMP514,2024-09-14,Present,HR
EMP540,2024-09-15,Present,IT
EMP522,2024-09-16,Present,IT
EMP539,2024-09-17,Present,Sales
EMP510,2024-09-18,Present,IT
EMP547,2024-09-19,Absent,Sales
EMP531,2024-09-20,Present,Finance
EMP535,2024-09-21,Absent,HR
EMP532,2024-09-22,Absent,IT
EMP523,2024-09-23,Present,HR
EMP538,2024-09-24,Leave,IT
EMP533,2024-09-25,Present,HR
EMP527,2024-09-26,Leave,IT
EMP536,2024-09-27,Present,IT
EMP506,2024-09-28,Present,IT
EMP503,2024-09-29,Present,IT
EMP536,2024-09-30,Present,IT
EMP500,2024-10-01,Present,IT
EMP500,2024-10-02,Present,IT
EMP546,2024-10-03,Present,IT
EMP519,2024-10-04,Present,IT
EMP518,2024-10-05,Present,HR
EMP528,2024-10-06,Present,Sales
EMP509,2024-10-07,Leave,IT
EMP517,2024-10-08,Absent,Sales
EMP527,2024-10-09,Leave,IT
EMP534,2024-10-10,Present,IT
EMP542,2024-10-11,Present,HR
EMP546,2024-10-12,Present,Finance
EMP530,2024-10-13,Absent,Finance
EMP526,2024-10-14,Present,HR
EMP510,2024-10-15,Present,Sales
EMP548,2024-10-16,Present,Finance
EMP548,2024-10-17,Leave,HR
EMP537,2024-10-18,Present,HR
EMP504,2024-10-19,Present,Finance
EMP507,2024-10-20,Present,Sales
EMP533,2024-10-21,Present,HR
EMP547,2024-10-22,Present,IT
EMP511,2024-10-23,Present,Sales
EMP537,2024-10-24,Present,Sales
EMP500,2024-10-25,Absent,Finance
EMP530,2024-10-26,Present,Finance
EMP503,2024-10-27,Absent,IT
EMP548,2024-10-28,Absent,HR
EMP544,2024-10-29,Present,Finance
EMP549,2024-10-30,Present,Finance
EMP504,2024-10-31,Present,Sales
EMP529,2024-11-01,Absent,Finance
EMP523,2024-11-02,Present,Finance
EMP502,2024-11-03,Present,Finance
EMP510,2024-11-04,Present,Finance
EMP544,2024-11-05,Present,Sales
